[2025-06-09 08:49:57] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 08:50:04] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 08:50:56] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 08:51:33] Alerte : Port non autorisé détecté - Port: 9999, Processus: nc
[2025-06-09 08:59:46] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:22:05] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:23:18] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:28:06] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:28:12] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:34:05] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:34:10] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:37:27] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:37:57] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:39:48] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:39:54] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:41:54] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:41:59] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 09:44:40] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:19:52] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:24:38] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:24:54] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:26:19] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:28:23] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:28:29] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:29:30] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:29:36] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:30:03] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:33:28] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:33:33] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:38:21] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:38:26] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:39:57] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:44:22] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:44:26] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:46:47] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:46:52] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:47:33] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:47:39] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:48:49] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:48:54] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 10:56:35] Alerte : Port non autorisé détecté - Port: 45379, Processus: codium
[2025-06-09 13:51:05] Alerte : Port non autorisé détecté - Port: 46071, Processus: codium
[2025-06-09 14:14:08] Alerte : Port non autorisé détecté - Port: 9999, Processus: nc
[2025-06-09 14:31:15] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-09 17:10:37] Alerte : Port non autorisé détecté - Port: 46071, Processus: codium
[2025-06-09 17:10:44] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-09 17:13:25] Alerte : Port non autorisé détecté - Port: 46071, Processus: codium
[2025-06-09 17:13:31] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 06:48:07] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 08:44:34] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 08:44:41] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 09:17:21] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 09:17:30] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 09:18:55] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 09:19:15] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 09:19:20] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 09:19:42] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 09:19:45] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 09:20:02] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 09:20:03] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 09:20:45] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 09:20:52] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 11:48:58] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 11:49:05] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
[2025-06-10 11:49:41] Alerte : Port non autorisé détecté - Port: 36281, Processus: codium
[2025-06-10 11:49:50] Alerte : Port non autorisé détecté - Port: 9000, Processus: node
